CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,D,Rasmus Ristolainen (31309308),Rasmus Ristolainen,31309308,FLEX,5000,PHI@NYI 11/25/2023 07:30PM ET,PHI,0
,,,,,,,G,Cal Petersen (31309309),Cal Petersen,31309309,FLEX,5000,PHI@NYI 11/25/2023 07:30PM ET,PHI,13.25
,,,,,,,D,Sebastian Aho (31309286),Sebastian Aho,31309286,FLEX,4800,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.88
,,,,,,,LW,Pierre Engvall (31309344),Pierre Engvall,31309344,CPT,4800,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.7
,,,,,,,LW,Anders Lee (31309287),Anders Lee,31309287,FLEX,4600,PHI@NYI 11/25/2023 07:30PM ET,NYI,6.48
,,,,,,,C,Jean-Gabriel Pageau (31309345),Jean-Gabriel Pageau,31309345,CPT,4500,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.86
,,,,,,,C,Morgan Frost (31309288),Morgan Frost,31309288,FLEX,4400,PHI@NYI 11/25/2023 07:30PM ET,PHI,5.99
,,,,,,,C,Ryan Poehling (31309289),Ryan Poehling,31309289,FLEX,4200,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.47
,,,,,,,D,Marc Staal (31309346),Marc Staal,31309346,CPT,4200,PHI@NYI 11/25/2023 07:30PM ET,PHI,2.98
,,,,,,,D,Adam Pelech (31309290),Adam Pelech,31309290,FLEX,4000,PHI@NYI 11/25/2023 07:30PM ET,NYI,5.46
,,,,,,,LW,Julien Gauthier (31309347),Julien Gauthier,31309347,CPT,3900,PHI@NYI 11/25/2023 07:30PM ET,NYI,1.4
,,,,,,,D,Alexander Romanov (31309291),Alexander Romanov,31309291,FLEX,3800,PHI@NYI 11/25/2023 07:30PM ET,NYI,7.75
,,,,,,,RW,Oliver Wahlstrom (31309292),Oliver Wahlstrom,31309292,FLEX,3600,PHI@NYI 11/25/2023 07:30PM ET,NYI,6.35
,,,,,,,D,Ryan Ellis (31309360),Ryan Ellis,31309360,CPT,3600,PHI@NYI 11/25/2023 07:30PM ET,PHI,0
,,,,,,,D,Louie Belpedio (31309293),Louie Belpedio,31309293,FLEX,3400,PHI@NYI 11/25/2023 07:30PM ET,PHI,6.2
,,,,,,,LW,Matt Martin (31309361),Matt Martin,31309361,CPT,3300,PHI@NYI 11/25/2023 07:30PM ET,NYI,2.5
,,,,,,,LW,Pierre Engvall (31309294),Pierre Engvall,31309294,FLEX,3200,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.7
,,,,,,,C,Jean-Gabriel Pageau (31309295),Jean-Gabriel Pageau,31309295,FLEX,3000,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.86
,,,,,,,D,Egor Zamula (31309348),Egor Zamula,31309348,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,PHI,4.95
,,,,,,,RW,Cal Clutterbuck (31309349),Cal Clutterbuck,31309349,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.03
,,,,,,,LW,Hudson Fasching (31309350),Hudson Fasching,31309350,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,NYI,3.83
,,,,,,,RW,Garnet Hathaway (31309351),Garnet Hathaway,31309351,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,PHI,4.05
,,,,,,,D,Samuel Bolduc (31309352),Samuel Bolduc,31309352,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,NYI,2.28
,,,,,,,C,Casey Cizikas (31309353),Casey Cizikas,31309353,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,NYI,5.01
,,,,,,,LW,Nicolas Deslauriers (31309354),Nicolas Deslauriers,31309354,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,PHI,2.67
,,,,,,,C,Noah Cates (31309355),Noah Cates,31309355,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,PHI,3.47
,,,,,,,LW,Daylan Kuefler (31309362),Daylan Kuefler,31309362,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,NYI,0
,,,,,,,D,Victor Mete (31309363),Victor Mete,31309363,CPT,3000,PHI@NYI 11/25/2023 07:30PM ET,PHI,1.3
,,,,,,,D,Marc Staal (31309296),Marc Staal,31309296,FLEX,2800,PHI@NYI 11/25/2023 07:30PM ET,PHI,2.98
,,,,,,,LW,Julien Gauthier (31309297),Julien Gauthier,31309297,FLEX,2600,PHI@NYI 11/25/2023 07:30PM ET,NYI,1.4
,,,,,,,D,Ryan Ellis (31309310),Ryan Ellis,31309310,FLEX,2400,PHI@NYI 11/25/2023 07:30PM ET,PHI,0
,,,,,,,LW,Matt Martin (31309311),Matt Martin,31309311,FLEX,2200,PHI@NYI 11/25/2023 07:30PM ET,NYI,2.5
,,,,,,,D,Egor Zamula (31309298),Egor Zamula,31309298,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,PHI,4.95
,,,,,,,RW,Cal Clutterbuck (31309299),Cal Clutterbuck,31309299,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,NYI,4.03
,,,,,,,LW,Hudson Fasching (31309300),Hudson Fasching,31309300,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,NYI,3.83
,,,,,,,RW,Garnet Hathaway (31309301),Garnet Hathaway,31309301,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,PHI,4.05
,,,,,,,D,Samuel Bolduc (31309302),Samuel Bolduc,31309302,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,NYI,2.28
,,,,,,,C,Casey Cizikas (31309303),Casey Cizikas,31309303,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,NYI,5.01
,,,,,,,LW,Nicolas Deslauriers (31309304),Nicolas Deslauriers,31309304,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,PHI,2.67
,,,,,,,C,Noah Cates (31309305),Noah Cates,31309305,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,PHI,3.47
,,,,,,,LW,Daylan Kuefler (31309312),Daylan Kuefler,31309312,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,NYI,0
,,,,,,,D,Victor Mete (31309313),Victor Mete,31309313,FLEX,2000,PHI@NYI 11/25/2023 07:30PM ET,PHI,1.3
